algorithm,k,tau,f,g,time(s)
Greedy,5,N/A,0.468,0.08,0.0062326000042958185
Saturate,5,N/A,0.362,0.35,0.06462020000617485
SMSC,5,0.1,0.212,0.1075,0.06981667999934871
SMSC,5,0.2,0.236,0.1525,0.09048489999986487
SMSC,5,0.30000000000000004,0.264,0.19,0.07977229000098304
SMSC,5,0.4,0.308,0.26,0.08144410000240895
SMSC,5,0.5,0.334,0.3,0.053901879998738876
SMSC,5,0.6,0.358,0.3475,0.06268090999947162
SMSC,5,0.7000000000000001,0.392,0.35,0.04976838000002317
SMSC,5,0.8,0.386,0.36,0.05678168000013102
SMSC,5,0.9,0.378,0.3775,0.04612312000244856
BSM-TSGreedy,5,0.1,0.442,0.08,0.007234820000303443
BSM-TSGreedy,5,0.2,0.454,0.12,0.006843809998827055
BSM-TSGreedy,5,0.30000000000000004,0.438,0.13,0.011909189996367786
BSM-TSGreedy,5,0.4,0.438,0.19,0.01439755999163026
BSM-TSGreedy,5,0.5,0.438,0.2,0.023041820002254097
BSM-TSGreedy,5,0.6,0.398,0.23,0.012909050000598655
BSM-TSGreedy,5,0.7000000000000001,0.398,0.27,0.013449070001661312
BSM-TSGreedy,5,0.8,0.382,0.28,0.013466290003270842
BSM-TSGreedy,5,0.9,0.37,0.32,0.014411209999525453
BSM-Saturate,5,0.1,0.452,0.09,0.09482993999845349
BSM-Saturate,5,0.2,0.454,0.12,0.10520477000245591
BSM-Saturate,5,0.30000000000000004,0.44,0.16,0.10856882000225596
BSM-Saturate,5,0.4,0.438,0.2,0.09585778999899049
BSM-Saturate,5,0.5,0.434,0.22,0.09721166000090306
BSM-Saturate,5,0.6,0.424,0.26,0.08790799000416882
BSM-Saturate,5,0.7000000000000001,0.42,0.27,0.0738428600030602
BSM-Saturate,5,0.8,0.396,0.34,0.08147342999727698
BSM-Saturate,5,0.9,0.386,0.36,0.0766293599983328
